Combination,Annualized Return,Benchmark Relative,Standard Deviation,Maximum Drawdown
"MSTY:20%, JEPQ:5%, SCHD:50%, SCHY:25%",35.9,18.6,19.6,9.1
"MSTY:20%, JEPQ:5%, SCHD:55%, SCHY:20%",35.3,17.9,19.7,9.2
"MSTY:20%, JEPQ:5%, SCHD:60%, SCHY:15%",34.6,17.3,19.8,9.3
"MSTY:20%, JEPQ:5%, SCHD:65%, SCHY:10%",34.0,16.7,19.9,9.4
"MSTY:20%, JEPQ:5%, SCHD:70%, SCHY:5%",33.4,16.1,20.1,9.5
"MSTY:20%, JEPQ:5%, SCHD:75%, SCHY:0%",32.8,15.4,20.2,9.6
"MSTY:20%, JEPQ:10%, SCHD:0%, SCHY:70%",41.7,24.4,19.8,7.9
"MSTY:20%, JEPQ:10%, SCHD:5%, SCHY:65%",41.1,23.8,19.6,8.0
"MSTY:20%, JEPQ:10%, SCHD:10%, SCHY:60%",40.5,23.1,19.5,8.1
"MSTY:20%, JEPQ:10%, SCHD:15%, SCHY:55%",39.8,22.5,19.4,8.3
"MSTY:20%, JEPQ:10%, SCHD:20%, SCHY:50%",39.2,21.9,19.4,8.4
"MSTY:20%, JEPQ:10%, SCHD:25%, SCHY:45%",38.6,21.3,19.4,8.5
"MSTY:20%, JEPQ:10%, SCHD:30%, SCHY:40%",38.0,20.6,19.3,8.6
"MSTY:20%, JEPQ:10%, SCHD:35%, SCHY:35%",37.3,20.0,19.4,8.7
"MSTY:20%, JEPQ:10%, SCHD:40%, SCHY:30%",36.7,19.4,19.4,8.8
"MSTY:20%, JEPQ:10%, SCHD:45%, SCHY:25%",36.1,18.8,19.5,8.9
"MSTY:20%, JEPQ:10%, SCHD:50%, SCHY:20%",35.5,18.1,19.6,9.0
"MSTY:20%, JEPQ:10%, SCHD:55%, SCHY:15%",34.8,17.5,19.7,9.1
"MSTY:20%, JEPQ:10%, SCHD:60%, SCHY:10%",34.2,16.9,19.8,9.3
"MSTY:20%, JEPQ:10%, SCHD:65%, SCHY:5%",33.6,16.3,20.0,9.4
"MSTY:20%, JEPQ:10%, SCHD:70%, SCHY:0%",33.0,15.6,20.1,9.5
"MSTY:20%, JEPQ:15%, SCHD:0%, SCHY:65%",41.3,23.9,19.6,7.9
"MSTY:20%, JEPQ:15%, SCHD:5%, SCHY:60%",40.7,23.3,19.5,8.0
"MSTY:20%, JEPQ:15%, SCHD:10%, SCHY:55%",40.0,22.7,19.4,8.1
"MSTY:20%, JEPQ:15%, SCHD:15%, SCHY:50%",39.4,22.1,19.4,8.2
"MSTY:20%, JEPQ:15%, SCHD:20%, SCHY:45%",38.8,21.5,19.3,8.4
"MSTY:20%, JEPQ:15%, SCHD:25%, SCHY:40%",38.2,20.8,19.3,8.5
"MSTY:20%, JEPQ:15%, SCHD:30%, SCHY:35%",37.5,20.2,19.3,8.6
"MSTY:20%, JEPQ:15%, SCHD:35%, SCHY:30%",36.9,19.6,19.4,8.7
"MSTY:20%, JEPQ:15%, SCHD:40%, SCHY:25%",36.3,19.0,19.4,8.8
"MSTY:20%, JEPQ:15%, SCHD:45%, SCHY:20%",35.7,18.3,19.5,8.9
"MSTY:20%, JEPQ:15%, SCHD:50%, SCHY:15%",35.0,17.7,19.6,9.0
"MSTY:20%, JEPQ:15%, SCHD:55%, SCHY:10%",34.4,17.1,19.7,9.1
"MSTY:20%, JEPQ:15%, SCHD:60%, SCHY:5%",33.8,16.5,19.9,9.2
"MSTY:20%, JEPQ:15%, SCHD:65%, SCHY:0%",33.2,15.8,20.1,9.3
"MSTY:20%, JEPQ:20%, SCHD:0%, SCHY:60%",40.9,23.5,19.5,7.9
"MSTY:20%, JEPQ:20%, SCHD:5%, SCHY:55%",40.2,22.9,19.4,8.0
"MSTY:20%, JEPQ:20%, SCHD:10%, SCHY:50%",39.6,22.3,19.4,8.1
"MSTY:20%, JEPQ:20%, SCHD:15%, SCHY:45%",39.0,21.7,19.3,8.2
"MSTY:20%, JEPQ:20%, SCHD:20%, SCHY:40%",38.4,21.0,19.3,8.4
"MSTY:20%, JEPQ:20%, SCHD:25%, SCHY:35%",37.7,20.4,19.3,8.5
"MSTY:20%, JEPQ:20%, SCHD:30%, SCHY:30%",37.1,19.8,19.3,8.6
"MSTY:20%, JEPQ:20%, SCHD:35%, SCHY:25%",36.5,19.2,19.4,8.7
"MSTY:20%, JEPQ:20%, SCHD:40%, SCHY:20%",35.9,18.5,19.5,8.8
"MSTY:20%, JEPQ:20%, SCHD:45%, SCHY:15%",35.2,17.9,19.6,8.9
"MSTY:20%, JEPQ:20%, SCHD:50%, SCHY:10%",34.6,17.3,19.7,9.0
"MSTY:20%, JEPQ:20%, SCHD:55%, SCHY:5%",34.0,16.7,19.9,9.1
"MSTY:20%, JEPQ:20%, SCHD:60%, SCHY:0%",33.4,16.0,20.0,9.2
"MSTY:20%, JEPQ:25%, SCHD:0%, SCHY:55%",40.4,23.1,19.4,7.9
"MSTY:20%, JEPQ:25%, SCHD:5%, SCHY:50%",39.8,22.5,19.4,8.0
"MSTY:20%, JEPQ:25%, SCHD:10%, SCHY:45%",39.2,21.9,19.3,8.1
"MSTY:20%, JEPQ:25%, SCHD:15%, SCHY:40%",38.6,21.2,19.3,8.2
"MSTY:20%, JEPQ:25%, SCHD:20%, SCHY:35%",37.9,20.6,19.3,8.3
"MSTY:20%, JEPQ:25%, SCHD:25%, SCHY:30%",37.3,20.0,19.3,8.5
"MSTY:20%, JEPQ:25%, SCHD:30%, SCHY:25%",36.7,19.4,19.4,8.6
"MSTY:20%, JEPQ:25%, SCHD:35%, SCHY:20%",36.1,18.7,19.5,8.7
"MSTY:20%, JEPQ:25%, SCHD:40%, SCHY:15%",35.4,18.1,19.6,8.8
"MSTY:20%, JEPQ:25%, SCHD:45%, SCHY:10%",34.8,17.5,19.7,8.9
"MSTY:20%, JEPQ:25%, SCHD:50%, SCHY:5%",34.2,16.9,19.8,9.0
"MSTY:20%, JEPQ:25%, SCHD:55%, SCHY:0%",33.6,16.2,20.0,9.1
"MSTY:20%, JEPQ:30%, SCHD:0%, SCHY:50%",40.0,22.7,19.4,7.9
"MSTY:20%, JEPQ:30%, SCHD:5%, SCHY:45%",39.4,22.1,19.4,8.0
"MSTY:20%, JEPQ:30%, SCHD:10%, SCHY:40%",38.8,21.4,19.4,8.1
"MSTY:20%, JEPQ:30%, SCHD:15%, SCHY:35%",38.1,20.8,19.4,8.2
"MSTY:20%, JEPQ:30%, SCHD:20%, SCHY:30%",37.5,20.2,19.4,8.3
"MSTY:20%, JEPQ:30%, SCHD:25%, SCHY:25%",36.9,19.6,19.4,8.4
"MSTY:20%, JEPQ:30%, SCHD:30%, SCHY:20%",36.3,18.9,19.5,8.6
"MSTY:20%, JEPQ:30%, SCHD:35%, SCHY:15%",35.6,18.3,19.6,8.7
"MSTY:20%, JEPQ:30%, SCHD:40%, SCHY:10%",35.0,17.7,19.7,8.8
"MSTY:20%, JEPQ:30%, SCHD:45%, SCHY:5%",34.4,17.1,19.9,8.9
"MSTY:20%, JEPQ:30%, SCHD:50%, SCHY:0%",33.8,16.4,20.0,9.1
"MSTY:20%, JEPQ:35%, SCHD:0%, SCHY:45%",39.6,22.2,19.5,7.9
"MSTY:20%, JEPQ:35%, SCHD:5%, SCHY:40%",39.0,21.6,19.4,8.0
"MSTY:20%, JEPQ:35%, SCHD:10%, SCHY:35%",38.3,21.0,19.4,8.1
"MSTY:20%, JEPQ:35%, SCHD:15%, SCHY:30%",37.7,20.4,19.4,8.2
"MSTY:20%, JEPQ:35%, SCHD:20%, SCHY:25%",37.1,19.8,19.5,8.3
"MSTY:20%, JEPQ:35%, SCHD:25%, SCHY:20%",36.5,19.1,19.6,8.4
"MSTY:20%, JEPQ:35%, SCHD:30%, SCHY:15%",35.8,18.5,19.6,8.5
"MSTY:20%, JEPQ:35%, SCHD:35%, SCHY:10%",35.2,17.9,19.8,8.6
"MSTY:20%, JEPQ:35%, SCHD:40%, SCHY:5%",34.6,17.3,19.9,8.9
"MSTY:20%, JEPQ:35%, SCHD:45%, SCHY:0%",34.0,16.6,20.1,9.2
"MSTY:20%, JEPQ:40%, SCHD:0%, SCHY:40%",39.2,21.8,19.5,7.9
"MSTY:20%, JEPQ:40%, SCHD:5%, SCHY:35%",38.5,21.2,19.5,8.0
"MSTY:20%, JEPQ:40%, SCHD:10%, SCHY:30%",37.9,20.6,19.5,8.1
"MSTY:20%, JEPQ:40%, SCHD:15%, SCHY:25%",37.3,20.0,19.6,8.2
"MSTY:20%, JEPQ:40%, SCHD:20%, SCHY:20%",36.7,19.3,19.6,8.3
"MSTY:20%, JEPQ:40%, SCHD:25%, SCHY:15%",36.0,18.7,19.7,8.4
"MSTY:20%, JEPQ:40%, SCHD:30%, SCHY:10%",35.4,18.1,19.8,8.7
"MSTY:20%, JEPQ:40%, SCHD:35%, SCHY:5%",34.8,17.5,20.0,9.0
"MSTY:20%, JEPQ:40%, SCHD:40%, SCHY:0%",34.2,16.8,20.1,9.4
"MSTY:20%, JEPQ:45%, SCHD:0%, SCHY:35%",38.7,21.4,19.6,7.8
"MSTY:20%, JEPQ:45%, SCHD:5%, SCHY:30%",38.1,20.8,19.7,8.0
"MSTY:20%, JEPQ:45%, SCHD:10%, SCHY:25%",37.5,20.2,19.7,8.1
"MSTY:20%, JEPQ:45%, SCHD:15%, SCHY:20%",36.9,19.5,19.7,8.2
"MSTY:20%, JEPQ:45%, SCHD:20%, SCHY:15%",36.2,18.9,19.8,8.5
"MSTY:20%, JEPQ:45%, SCHD:25%, SCHY:10%",35.6,18.3,19.9,8.8
"MSTY:20%, JEPQ:45%, SCHD:30%, SCHY:5%",35.0,17.7,20.0,9.2
"MSTY:20%, JEPQ:45%, SCHD:35%, SCHY:0%",34.4,17.0,20.2,9.5
"MSTY:20%, JEPQ:50%, SCHD:0%, SCHY:30%",38.3,21.0,19.8,7.8
"MSTY:20%, JEPQ:50%, SCHD:5%, SCHY:25%",37.7,20.3,19.8,8.0
"MSTY:20%, JEPQ:50%, SCHD:10%, SCHY:20%",37.1,19.7,19.9,8.3
"MSTY:20%, JEPQ:50%, SCHD:15%, SCHY:15%",36.4,19.1,19.9,8.6
"MSTY:20%, JEPQ:50%, SCHD:20%, SCHY:10%",35.8,18.5,20.0,9.0
"MSTY:20%, JEPQ:50%, SCHD:25%, SCHY:5%",35.2,17.9,20.2,9.3
"MSTY:20%, JEPQ:50%, SCHD:30%, SCHY:0%",34.6,17.2,20.3,9.6
"MSTY:20%, JEPQ:55%, SCHD:0%, SCHY:25%",37.9,20.5,20.0,8.1
"MSTY:20%, JEPQ:55%, SCHD:5%, SCHY:20%",37.3,19.9,20.0,8.4
"MSTY:20%, JEPQ:55%, SCHD:10%, SCHY:15%",36.6,19.3,20.1,8.8
"MSTY:20%, JEPQ:55%, SCHD:15%, SCHY:10%",36.0,18.7,20.2,9.1
"MSTY:20%, JEPQ:55%, SCHD:20%, SCHY:5%",35.4,18.0,20.3,9.5
"MSTY:20%, JEPQ:55%, SCHD:25%, SCHY:0%",34.8,17.4,20.4,9.8
"MSTY:20%, JEPQ:60%, SCHD:0%, SCHY:20%",37.5,20.1,20.2,8.6
"MSTY:20%, JEPQ:60%, SCHD:5%, SCHY:15%",36.8,19.5,20.3,8.9
"MSTY:20%, JEPQ:60%, SCHD:10%, SCHY:10%",36.2,18.9,20.4,9.3
"MSTY:20%, JEPQ:60%, SCHD:15%, SCHY:5%",35.6,18.2,20.5,9.6
"MSTY:20%, JEPQ:60%, SCHD:20%, SCHY:0%",35.0,17.6,20.6,9.9
"MSTY:20%, JEPQ:65%, SCHD:0%, SCHY:15%",37.0,19.7,20.5,9.1
"MSTY:20%, JEPQ:65%, SCHD:5%, SCHY:10%",36.4,19.1,20.6,9.4
"MSTY:20%, JEPQ:65%, SCHD:10%, SCHY:5%",35.8,18.4,20.7,9.7
"MSTY:20%, JEPQ:65%, SCHD:15%, SCHY:0%",35.2,17.8,20.8,10.1
"MSTY:20%, JEPQ:70%, SCHD:0%, SCHY:10%",36.6,19.3,20.8,9.5
"MSTY:20%, JEPQ:70%, SCHD:5%, SCHY:5%",36.0,18.6,20.9,9.9
"MSTY:20%, JEPQ:70%, SCHD:10%, SCHY:0%",35.4,18.0,21.0,10.2
"MSTY:20%, JEPQ:75%, SCHD:0%, SCHY:5%",36.2,18.8,21.1,10.0
"MSTY:20%, JEPQ:75%, SCHD:5%, SCHY:0%",35.6,18.2,21.2,10.4
"MSTY:20%, JEPQ:80%, SCHD:0%, SCHY:0%",35.7,18.4,21.5,10.5
"MSTY:25%, JEPQ:0%, SCHD:0%, SCHY:75%",48.6,31.3,23.4,9.6
"MSTY:25%, JEPQ:0%, SCHD:5%, SCHY:70%",48.0,30.6,23.3,9.7
"MSTY:25%, JEPQ:0%, SCHD:10%, SCHY:65%",47.4,30.0,23.1,9.8
"MSTY:25%, JEPQ:0%, SCHD:15%, SCHY:60%",46.7,29.4,23.1,9.9
"MSTY:25%, JEPQ:0%, SCHD:20%, SCHY:55%",46.1,28.8,23.0,10.1
"MSTY:25%, JEPQ:0%, SCHD:25%, SCHY:50%",45.5,28.2,22.9,10.2
"MSTY:25%, JEPQ:0%, SCHD:30%, SCHY:45%",44.9,27.5,22.9,10.3
"MSTY:25%, JEPQ:0%, SCHD:35%, SCHY:40%",44.3,26.9,22.9,10.4
"MSTY:25%, JEPQ:0%, SCHD:40%, SCHY:35%",43.6,26.3,22.9,10.5
"MSTY:25%, JEPQ:0%, SCHD:45%, SCHY:30%",43.0,25.7,22.9,10.6
"MSTY:25%, JEPQ:0%, SCHD:50%, SCHY:25%",42.4,25.1,23.0,10.7
"MSTY:25%, JEPQ:0%, SCHD:55%, SCHY:20%",41.8,24.4,23.1,10.7
"MSTY:25%, JEPQ:0%, SCHD:60%, SCHY:15%",41.1,23.8,23.1,10.8
"MSTY:25%, JEPQ:0%, SCHD:65%, SCHY:10%",40.5,23.2,23.3,10.9
"MSTY:25%, JEPQ:0%, SCHD:70%, SCHY:5%",39.9,22.6,23.4,11.0
"MSTY:25%, JEPQ:0%, SCHD:75%, SCHY:0%",39.3,21.9,23.5,11.1
"MSTY:25%, JEPQ:5%, SCHD:0%, SCHY:70%",48.2,30.8,23.2,9.6
"MSTY:25%, JEPQ:5%, SCHD:5%, SCHY:65%",47.6,30.2,23.1,9.7
"MSTY:25%, JEPQ:5%, SCHD:10%, SCHY:60%",46.9,29.6,23.0,9.8
"MSTY:25%, JEPQ:5%, SCHD:15%, SCHY:55%",46.3,29.0,22.9,9.9
"MSTY:25%, JEPQ:5%, SCHD:20%, SCHY:50%",45.7,28.4,22.9,10.0
"MSTY:25%, JEPQ:5%, SCHD:25%, SCHY:45%",45.1,27.7,22.9,10.1
"MSTY:25%, JEPQ:5%, SCHD:30%, SCHY:40%",44.4,27.1,22.9,10.2
"MSTY:25%, JEPQ:5%, SCHD:35%, SCHY:35%",43.8,26.5,22.9,10.3
"MSTY:25%, JEPQ:5%, SCHD:40%, SCHY:30%",43.2,25.9,22.9,10.4
"MSTY:25%, JEPQ:5%, SCHD:45%, SCHY:25%",42.6,25.3,22.9,10.5
"MSTY:25%, JEPQ:5%, SCHD:50%, SCHY:20%",42.0,24.6,23.0,10.6
"MSTY:25%, JEPQ:5%, SCHD:55%, SCHY:15%",41.3,24.0,23.1,10.7
"MSTY:25%, JEPQ:5%, SCHD:60%, SCHY:10%",40.7,23.4,23.2,10.8
"MSTY:25%, JEPQ:5%, SCHD:65%, SCHY:5%",40.1,22.8,23.3,10.9
"MSTY:25%, JEPQ:5%, SCHD:70%, SCHY:0%",39.5,22.1,23.4,11.0
"MSTY:25%, JEPQ:10%, SCHD:0%, SCHY:65%",47.8,30.4,23.1,9.6
"MSTY:25%, JEPQ:10%, SCHD:5%, SCHY:60%",47.1,29.8,23.0,9.7
"MSTY:25%, JEPQ:10%, SCHD:10%, SCHY:55%",46.5,29.2,22.9,9.8
"MSTY:25%, JEPQ:10%, SCHD:15%, SCHY:50%",45.9,28.6,22.9,9.9
"MSTY:25%, JEPQ:10%, SCHD:20%, SCHY:45%",45.3,27.9,22.8,10.0
"MSTY:25%, JEPQ:10%, SCHD:25%, SCHY:40%",44.6,27.3,22.8,10.1
"MSTY:25%, JEPQ:10%, SCHD:30%, SCHY:35%",44.0,26.7,22.8,10.2
"MSTY:25%, JEPQ:10%, SCHD:35%, SCHY:30%",43.4,26.1,22.9,10.3
"MSTY:25%, JEPQ:10%, SCHD:40%, SCHY:25%",42.8,25.4,22.9,10.4
"MSTY:25%, JEPQ:10%, SCHD:45%, SCHY:20%",42.2,24.8,23.0,10.5
"MSTY:25%, JEPQ:10%, SCHD:50%, SCHY:15%",41.5,24.2,23.0,10.6
"MSTY:25%, JEPQ:10%, SCHD:55%, SCHY:10%",40.9,23.6,23.1,10.7
"MSTY:25%, JEPQ:10%, SCHD:60%, SCHY:5%",40.3,23.0,23.3,10.8
"MSTY:25%, JEPQ:10%, SCHD:65%, SCHY:0%",39.7,22.3,23.4,10.9
"MSTY:25%, JEPQ:15%, SCHD:0%, SCHY:60%",47.3,30.0,23.0,9.6
"MSTY:25%, JEPQ:15%, SCHD:5%, SCHY:55%",46.7,29.4,22.9,9.7
"MSTY:25%, JEPQ:15%, SCHD:10%, SCHY:50%",46.1,28.8,22.9,9.8
"MSTY:25%, JEPQ:15%, SCHD:15%, SCHY:45%",45.5,28.1,22.8,9.9
"MSTY:25%, JEPQ:15%, SCHD:20%, SCHY:40%",44.8,27.5,22.8,10.0
"MSTY:25%, JEPQ:15%, SCHD:25%, SCHY:35%",44.2,26.9,22.8,10.1
"MSTY:25%, JEPQ:15%, SCHD:30%, SCHY:30%",43.6,26.3,22.8,10.2
"MSTY:25%, JEPQ:15%, SCHD:35%, SCHY:25%",43.0,25.6,22.9,10.3
"MSTY:25%, JEPQ:15%, SCHD:40%, SCHY:20%",42.4,25.0,22.9,10.4
"MSTY:25%, JEPQ:15%, SCHD:45%, SCHY:15%",41.7,24.4,23.0,10.5
"MSTY:25%, JEPQ:15%, SCHD:50%, SCHY:10%",41.1,23.8,23.1,10.6
"MSTY:25%, JEPQ:15%, SCHD:55%, SCHY:5%",40.5,23.2,23.2,10.7
"MSTY:25%, JEPQ:15%, SCHD:60%, SCHY:0%",39.9,22.5,23.4,10.8
"MSTY:25%, JEPQ:20%, SCHD:0%, SCHY:55%",46.9,29.6,23.0,9.6
"MSTY:25%, JEPQ:20%, SCHD:5%, SCHY:50%",46.3,29.0,22.9,9.7
"MSTY:25%, JEPQ:20%, SCHD:10%, SCHY:45%",45.7,28.3,22.9,9.8
"MSTY:25%, JEPQ:20%, SCHD:15%, SCHY:40%",45.0,27.7,22.8,9.9
"MSTY:25%, JEPQ:20%, SCHD:20%, SCHY:35%",44.4,27.1,22.8,10.0
"MSTY:25%, JEPQ:20%, SCHD:25%, SCHY:30%",43.8,26.5,22.9,10.1
"MSTY:25%, JEPQ:20%, SCHD:30%, SCHY:25%",43.2,25.8,22.9,10.2
"MSTY:25%, JEPQ:20%, SCHD:35%, SCHY:20%",42.6,25.2,22.9,10.3
"MSTY:25%, JEPQ:20%, SCHD:40%, SCHY:15%",41.9,24.6,23.0,10.4
"MSTY:25%, JEPQ:20%, SCHD:45%, SCHY:10%",41.3,24.0,23.1,10.5
"MSTY:25%, JEPQ:20%, SCHD:50%, SCHY:5%",40.7,23.4,23.2,10.6
"MSTY:25%, JEPQ:20%, SCHD:55%, SCHY:0%",40.1,22.7,23.4,10.7
"MSTY:25%, JEPQ:25%, SCHD:0%, SCHY:50%",46.5,29.2,23.0,9.6
"MSTY:25%, JEPQ:25%, SCHD:5%, SCHY:45%",45.9,28.5,22.9,9.7
"MSTY:25%, JEPQ:25%, SCHD:10%, SCHY:40%",45.2,27.9,22.9,9.8
"MSTY:25%, JEPQ:25%, SCHD:15%, SCHY:35%",44.6,27.3,22.9,9.9
"MSTY:25%, JEPQ:25%, SCHD:20%, SCHY:30%",44.0,26.7,22.9,10.0
"MSTY:25%, JEPQ:25%, SCHD:25%, SCHY:25%",43.4,26.0,22.9,10.1
"MSTY:25%, JEPQ:25%, SCHD:30%, SCHY:20%",42.8,25.4,23.0,10.2
"MSTY:25%, JEPQ:25%, SCHD:35%, SCHY:15%",42.1,24.8,23.1,10.3
"MSTY:25%, JEPQ:25%, SCHD:40%, SCHY:10%",41.5,24.2,23.1,10.4
"MSTY:25%, JEPQ:25%, SCHD:45%, SCHY:5%",40.9,23.6,23.2,10.5
"MSTY:25%, JEPQ:25%, SCHD:50%, SCHY:0%",40.3,22.9,23.4,10.6
"MSTY:25%, JEPQ:30%, SCHD:0%, SCHY:45%",46.1,28.7,23.0,9.5
"MSTY:25%, JEPQ:30%, SCHD:5%, SCHY:40%",45.4,28.1,23.0,9.6
"MSTY:25%, JEPQ:30%, SCHD:10%, SCHY:35%",44.8,27.5,22.9,9.7
"MSTY:25%, JEPQ:30%, SCHD:15%, SCHY:30%",44.2,26.9,23.0,9.8
"MSTY:25%, JEPQ:30%, SCHD:20%, SCHY:25%",43.6,26.2,23.0,9.9
"MSTY:25%, JEPQ:30%, SCHD:25%, SCHY:20%",43.0,25.6,23.0,10.1
"MSTY:25%, JEPQ:30%, SCHD:30%, SCHY:15%",42.3,25.0,23.1,10.1
"MSTY:25%, JEPQ:30%, SCHD:35%, SCHY:10%",41.7,24.4,23.2,10.2
"MSTY:25%, JEPQ:30%, SCHD:40%, SCHY:5%",41.1,23.8,23.3,10.3
"MSTY:25%, JEPQ:30%, SCHD:45%, SCHY:0%",40.5,23.1,23.4,10.4
"MSTY:25%, JEPQ:35%, SCHD:0%, SCHY:40%",45.6,28.3,23.0,9.5
"MSTY:25%, JEPQ:35%, SCHD:5%, SCHY:35%",45.0,27.7,23.0,9.6
"MSTY:25%, JEPQ:35%, SCHD:10%, SCHY:30%",44.4,27.1,23.0,9.7
"MSTY:25%, JEPQ:35%, SCHD:15%, SCHY:25%",43.8,26.4,23.1,9.8
"MSTY:25%, JEPQ:35%, SCHD:20%, SCHY:20%",43.1,25.8,23.1,9.9
"MSTY:25%, JEPQ:35%, SCHD:25%, SCHY:15%",42.5,25.2,23.2,10.0
"MSTY:25%, JEPQ:35%, SCHD:30%, SCHY:10%",41.9,24.6,23.3,10.1
"MSTY:25%, JEPQ:35%, SCHD:35%, SCHY:5%",41.3,23.9,23.4,10.2
"MSTY:25%, JEPQ:35%, SCHD:40%, SCHY:0%",40.7,23.3,23.5,10.3
"MSTY:25%, JEPQ:40%, SCHD:0%, SCHY:35%",45.2,27.9,23.1,9.5
"MSTY:25%, JEPQ:40%, SCHD:5%, SCHY:30%",44.6,27.3,23.1,9.6
"MSTY:25%, JEPQ:40%, SCHD:10%, SCHY:25%",44.0,26.6,23.2,9.7
"MSTY:25%, JEPQ:40%, SCHD:15%, SCHY:20%",43.3,26.0,23.2,9.8
"MSTY:25%, JEPQ:40%, SCHD:20%, SCHY:15%",42.7,25.4,23.3,9.9
"MSTY:25%, JEPQ:40%, SCHD:25%, SCHY:10%",42.1,24.8,23.3,10.0
"MSTY:25%, JEPQ:40%, SCHD:30%, SCHY:5%",41.5,24.1,23.4,10.1
"MSTY:25%, JEPQ:40%, SCHD:35%, SCHY:0%",40.9,23.5,23.6,10.2
"MSTY:25%, JEPQ:45%, SCHD:0%, SCHY:30%",44.8,27.5,23.3,9.5
"MSTY:25%, JEPQ:45%, SCHD:5%, SCHY:25%",44.2,26.8,23.3,9.6
"MSTY:25%, JEPQ:45%, SCHD:10%, SCHY:20%",43.5,26.2,23.3,9.7
"MSTY:25%, JEPQ:45%, SCHD:15%, SCHY:15%",42.9,25.6,23.4,9.8
"MSTY:25%, JEPQ:45%, SCHD:20%, SCHY:10%",42.3,25.0,23.5,9.9
"MSTY:25%, JEPQ:45%, SCHD:25%, SCHY:5%",41.7,24.3,23.5,10.0
"MSTY:25%, JEPQ:45%, SCHD:30%, SCHY:0%",41.1,23.7,23.7,10.4
"MSTY:25%, JEPQ:50%, SCHD:0%, SCHY:25%",44.4,27.0,23.4,9.5
"MSTY:25%, JEPQ:50%, SCHD:5%, SCHY:20%",43.7,26.4,23.5,9.6
"MSTY:25%, JEPQ:50%, SCHD:10%, SCHY:15%",43.1,25.8,23.5,9.7
"MSTY:25%, JEPQ:50%, SCHD:15%, SCHY:10%",42.5,25.2,23.6,9.9
"MSTY:25%, JEPQ:50%, SCHD:20%, SCHY:5%",41.9,24.5,23.7,10.2
"MSTY:25%, JEPQ:50%, SCHD:25%, SCHY:0%",41.3,23.9,23.8,10.5
"MSTY:25%, JEPQ:55%, SCHD:0%, SCHY:20%",43.9,26.6,23.6,9.5
"MSTY:25%, JEPQ:55%, SCHD:5%, SCHY:15%",43.3,26.0,23.7,9.7
"MSTY:25%, JEPQ:55%, SCHD:10%, SCHY:10%",42.7,25.4,23.7,10.0
"MSTY:25%, JEPQ:55%, SCHD:15%, SCHY:5%",42.1,24.7,23.8,10.3
"MSTY:25%, JEPQ:55%, SCHD:20%, SCHY:0%",41.5,24.1,23.9,10.6
"MSTY:25%, JEPQ:60%, SCHD:0%, SCHY:15%",43.5,26.2,23.9,9.8
"MSTY:25%, JEPQ:60%, SCHD:5%, SCHY:10%",42.9,25.6,23.9,10.1
"MSTY:25%, JEPQ:60%, SCHD:10%, SCHY:5%",42.3,24.9,24.0,10.5
"MSTY:25%, JEPQ:60%, SCHD:15%, SCHY:0%",41.6,24.3,24.1,10.8
"MSTY:25%, JEPQ:65%, SCHD:0%, SCHY:10%",43.1,25.8,24.1,10.3
"MSTY:25%, JEPQ:65%, SCHD:5%, SCHY:5%",42.5,25.1,24.2,10.6
"MSTY:25%, JEPQ:65%, SCHD:10%, SCHY:0%",41.8,24.5,24.3,10.9
"MSTY:25%, JEPQ:70%, SCHD:0%, SCHY:5%",42.7,25.3,24.4,10.7
"MSTY:25%, JEPQ:70%, SCHD:5%, SCHY:0%",42.0,24.7,24.5,11.0
"MSTY:25%, JEPQ:75%, SCHD:0%, SCHY:0%",42.2,24.9,24.7,11.2
"MSTY:30%, JEPQ:0%, SCHD:0%, SCHY:70%",54.6,37.3,26.6,11.2
"MSTY:30%, JEPQ:0%, SCHD:5%, SCHY:65%",54.0,36.7,26.5,11.3
"MSTY:30%, JEPQ:0%, SCHD:10%, SCHY:60%",53.4,36.1,26.4,11.4
"MSTY:30%, JEPQ:0%, SCHD:15%, SCHY:55%",52.8,35.4,26.3,11.5
"MSTY:30%, JEPQ:0%, SCHD:20%, SCHY:50%",52.1,34.8,26.3,11.6
"MSTY:30%, JEPQ:0%, SCHD:25%, SCHY:45%",51.5,34.2,26.3,11.6
"MSTY:30%, JEPQ:0%, SCHD:30%, SCHY:40%",50.9,33.6,26.2,11.7
"MSTY:30%, JEPQ:0%, SCHD:35%, SCHY:35%",50.3,33.0,26.2,11.8
"MSTY:30%, JEPQ:0%, SCHD:40%, SCHY:30%",49.7,32.3,26.3,11.9
"MSTY:30%, JEPQ:0%, SCHD:45%, SCHY:25%",49.0,31.7,26.3,12.0
"MSTY:30%, JEPQ:0%, SCHD:50%, SCHY:20%",48.4,31.1,26.3,12.1
"MSTY:30%, JEPQ:0%, SCHD:55%, SCHY:15%",47.8,30.5,26.4,12.2
"MSTY:30%, JEPQ:0%, SCHD:60%, SCHY:10%",47.2,29.9,26.5,12.3
"MSTY:30%, JEPQ:0%, SCHD:65%, SCHY:5%",46.6,29.2,26.6,12.4
"MSTY:30%, JEPQ:0%, SCHD:70%, SCHY:0%",45.9,28.6,26.7,12.4
"MSTY:30%, JEPQ:5%, SCHD:0%, SCHY:65%",54.2,36.9,26.5,11.2
"MSTY:30%, JEPQ:5%, SCHD:5%, SCHY:60%",53.6,36.3,26.4,11.3
